,Country,l. Beer,Population,Metal_Bands
0,Czech Republic,148.6,10551219.0,34
34,Austria,107.8,8611088.0,38
72,Germany,106.1,81413145.0,393
465,Estonia,102.4,1311998.0,13
478,Poland,98.5,37999494.0,99
577,Ireland,98.3,4640703.0,19
596,Croatia,85.9,4224404.0,10
606,Finland,84.2,5482013.0,300
906,Romania,83.2,19832389.0,49
955,Australia,83.1,23781169.0,131
1086,Slovenia,80.1,2063768.0,9
1095,Bulgaria,76.8,7177991.0,12
1107,Belgium,74.0,11285721.0,58
1165,Lithuania,72.5,2910199.0,9
1174,United Kingdom,68.5,65138232.0,338
1512,Spain,68.4,46418269.0,78
1590,Brazil,68.3,207847528.0,58
1648,Canada,66.9,35851774.0,161
1809,Latvia,66.2,1978440.0,24
1833,New Zealand,64.7,4595700.0,11
1844,Denmark,62.1,5676002.0,68
1912,Ukraine,61.6,45198200.0,25
1937,South Africa,61.1,54956920.0,5
1942,Mexico,59.9,127017224.0,15
1957,Switzerland,58.3,8286976.0,52
2009,Bosnia and Herzegovina,56.1,3810416.0,4
2013,Sweden,52.7,9798871.0,469
2482,Argentina,49.0,43416755.0,18
2500,Iceland,45.0,330823.0,25
2525,Japan,43.5,126958472.0,52
2577,China,32.0,1371220000.0,3
2580,Italy,29.0,60802085.0,217
2797,Israel,14.0,8380400.0,16
2813,Turkey,13.0,78665830.0,14
2827,Sri Lanka,2.0,20966000.0,2
2829,India,2.0,1311050527.0,8
